material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
AlOx-HfO2,exp3,50,9,77.50100069113867,0.042092453182809034,4.493238812593365,0.7187766242366251
AlOx-HfO2,exp4,100,1,1850.0356570072663,4.425433670625743,119.73681446391623,4.532391292291609
AlOx-HfO2,exp4,100,2,1847.7254334778606,4.425891509930961,235.54500398071596,8.726693437439113
AlOx-HfO2,exp4,100,3,1845.6084217131504,4.4243368094125595,235.49605651231613,8.98926072252473
AlOx-HfO2,exp4,100,4,1851.2719746543312,4.424767627921527,130.32110701256516,6.430483727354356
AlOx-HfO2,exp4,100,5,1849.0916217131507,4.425442013932098,129.6017996366009,6.009282867309912
EpiRAM,exp1,100,1,2.5661323970492704,0.003261737989383792,0.4276758669423689,0.0711195818324164
EpiRAM,exp1,100,10,2.565751397049271,0.0032615121052417687,0.4194201330856408,0.06954160965975831
EpiRAM,exp1,100,2,2.565796397049272,0.0032620455957400726,0.4513116177564498,0.07378788113746637
EpiRAM,exp1,100,3,2.5685578970492724,0.0032657356529325783,0.43317549801862254,0.07180082076590821
EpiRAM,exp1,100,4,2.5714198970492728,0.0032704677500140014,0.38495173002282296,0.06452680329988425
EpiRAM,exp1,100,5,2.568097397049273,0.0032654647490710656,0.41092490353597094,0.06822858048253266
EpiRAM,exp1,100,6,2.567198897049272,0.0032629320795096173,0.47211246445419885,0.07797049345379392
EpiRAM,exp1,100,7,2.5685863970492715,0.0032676645488654704,0.3656589188560346,0.06097161617521962
EpiRAM,exp1,100,8,2.5703593970492706,0.0032687829297477237,0.41892614298776926,0.06991461542964927
EpiRAM,exp1,100,9,2.565796397049272,0.0032620480403721306,0.4278040082976703,0.07066476576121872
EpiRAM,exp1,1,1,2.2965617239704916,0.0030088954571561915,10.20079935704689,1.2869190701332158
EpiRAM,exp1,1,10,2.2965617239704916,0.0030064714989303893,10.299364789208724,1.2997405900360945
EpiRAM,exp1,1,2,2.2965617239704916,0.0030080604240873996,10.2318949315963,1.2907551585364132
EpiRAM,exp1,1,3,2.2965617239704916,0.0030084738013955274,10.217188540032808,1.2893257299874605
EpiRAM,exp1,1,4,2.2965617239704916,0.003006859979550826,10.285638096825245,1.2981890921176458
EpiRAM,exp1,1,5,2.296561723970492,0.003007652944294367,10.243925274799603,1.2923466905851946
EpiRAM,exp1,1,6,2.2965617239704916,0.003007653109869951,10.243925274799603,1.2923466905851946
EpiRAM,exp1,1,7,2.2965617239704916,0.0030088956982464938,10.20079935704689,1.2869190701332158
EpiRAM,exp1,1,8,2.2965617239704916,0.0030076531524604756,10.243925274799603,1.2923466905851946
EpiRAM,exp1,1,9,2.296561723970492,0.0030097570346963322,10.180019498805393,1.2840182157868298
EpiRAM,exp1,50,1,2.5672686985246362,0.003264608521473567,0.38326262847516596,0.06432532054034823
EpiRAM,exp1,50,10,2.569898198524635,0.0032686437414271817,0.3918953697615677,0.06573833522135786
EpiRAM,exp1,50,2,2.5685466985246355,0.003265709733671137,0.4199284878175596,0.07010297277232169
EpiRAM,exp1,50,3,2.5720491985246356,0.003270834791861358,0.4227690769246537,0.07012397488446354
EpiRAM,exp1,50,4,2.5685466985246355,0.003265708081525393,0.43317549801862254,0.07180082076590821
EpiRAM,exp1,50,5,2.5652451985246367,0.0032613944781070036,0.38314362585343753,0.06411005369335854
EpiRAM,exp1,50,6,2.570348198524637,0.003268755517403306,0.41892614298776926,0.06991461542964927
EpiRAM,exp1,50,7,2.5647456985246353,0.003260556826176345,0.4221851226735278,0.06967309634250185
EpiRAM,exp1,50,8,2.562135698524636,0.003255224483660736,0.4715876114161583,0.07725598705239278
EpiRAM,exp1,50,9,2.570348198524637,0.003268755738806418,0.41892614298776926,0.06991461542964927
EpiRAM,exp2,100,1,5.222094645521979,0.00972147561397631,0.4590636846313726,0.07565723914176559
EpiRAM,exp2,100,10,5.231232645521977,0.009741639761661413,0.4485472794545112,0.07400040906079752
EpiRAM,exp2,100,2,5.2318966455219735,0.009746615840621618,0.365114327981618,0.06118032096712511
EpiRAM,exp2,100,3,5.225636645521972,0.0097259816701095,0.4688178923102496,0.07825815340530085
EpiRAM,exp2,100,4,5.222094645521979,0.009721475146564601,0.4590636846313726,0.07565723914176559
EpiRAM,exp2,100,5,5.223752645521972,0.009729303619337272,0.40917819688170387,0.0674794139145547
EpiRAM,exp2,100,6,5.24277864552197,0.00976536886957552,0.35956409182105115,0.060913132700537886
EpiRAM,exp2,100,7,5.229358645521969,0.009739849599561454,0.404737991539325,0.06801241921951373
EpiRAM,exp2,100,8,5.224488645521968,0.009727961904188875,0.4046354604822196,0.0676334061228232
EpiRAM,exp2,100,9,5.239112645521969,0.00975625277025879,0.417450381994798,0.06966193969420686
EpiRAM,exp2,1,1,4.680692646455222,0.008973174541236332,10.214730188557413,1.2889296511035688
EpiRAM,exp2,1,10,4.680692646455222,0.008968350476927092,10.277878606130251,1.2974924236077747
EpiRAM,exp2,1,2,4.680692646455222,0.00897443142653446,10.200647501974334,1.286304116694712
EpiRAM,exp2,1,3,4.680692646455222,0.008974430839435946,10.200647501974334,1.286304116694712
EpiRAM,exp2,1,4,4.680692646455222,0.008969529290428263,10.255257329455835,1.294167924780517
EpiRAM,exp2,1,5,4.680692646455222,0.00896952842845552,10.255257329455835,1.294167924780517
EpiRAM,exp2,1,6,4.680692646455222,0.008970723561425642,10.241559992659633,1.2925189717305159
EpiRAM,exp2,1,7,4.680692646455222,0.008968352320860564,10.277878606130251,1.2974924236077747
EpiRAM,exp2,1,8,4.680692646455222,0.008973174454749534,10.214730188557413,1.2889296511035688
