material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error,min_elapsed_time
AlOx-HfO2,exp2,20,5,91.48186027645518,0.04318120560640099,1.1874140522406866,0.2948356507868627,1.7790732383728027
AlOx-HfO2,exp2,30,1,91.48189041468267,0.04317786993497836,1.1859222258447844,0.2947408660598809,1.9622604846954346
AlOx-HfO2,exp2,30,2,91.60129041468288,0.043145631958295655,1.2392472980419564,0.3366043207670708,1.9269816875457764
AlOx-HfO2,exp2,30,3,91.37244041468317,0.0431480418932541,1.192756955183545,0.2987376409518482,1.9298865795135498
AlOx-HfO2,exp2,30,4,91.55154041468339,0.04317917095491289,1.2934965056817067,0.3220215978226172,1.8939054012298584
AlOx-HfO2,exp2,30,5,91.23314041468284,0.043181263573136806,4.463511582905772,0.7598815736782925,1.916337251663208
AlOx-HfO2,exp2,40,1,91.21327055291081,0.04307870474453237,1.7486104753144749,0.6715577690824399,2.079847574234009
AlOx-HfO2,exp2,40,2,91.49187055291029,0.04320994459494736,1.1908366909133223,0.2999145527362942,2.107013702392578
AlOx-HfO2,exp2,40,3,91.25307055291054,0.043196436977051535,4.607472349111335,0.7857425589647691,2.0985801219940186
AlOx-HfO2,exp2,40,4,91.20332055291084,0.04312631920699742,2.547427306786081,0.5679220733194841,2.0659735202789307
AlOx-HfO2,exp2,40,5,91.22322055291072,0.04317686742999411,4.6486534551247525,0.7843129301562897,2.0501346588134766
AlOx-HfO2,exp2,50,1,91.70085069113833,0.04322564089104057,2.053243452705138,0.44257053109977096,2.202120304107666
AlOx-HfO2,exp2,50,2,91.49190069113841,0.04321182327917551,1.189188629220285,0.2976476129265816,2.2444350719451904
AlOx-HfO2,exp2,50,3,91.75060069113847,0.04324006508115248,2.2897941376622186,0.5250416882892743,2.2406153678894043
AlOx-HfO2,exp2,50,4,91.48195069113851,0.04317804028299571,1.1859222258447844,0.2947408660598809,2.2261617183685303
AlOx-HfO2,exp2,50,5,91.55160069113838,0.04317988419964811,1.298091750898901,0.3221321797539748,2.219780683517456
AlOx-HfO2,exp2,60,1,91.49193082936611,0.04321285056975161,1.1884683396117846,0.2997328923542365,2.3701839447021484
AlOx-HfO2,exp2,60,2,91.47203082936589,0.04317044708522639,1.1818775260847625,0.29264768738625435,2.3172247409820557
AlOx-HfO2,exp2,60,3,91.59143082936612,0.04316192149740379,1.2264989860260513,0.30335842544369496,2.358325481414795
AlOx-HfO2,exp2,60,4,91.41233082936624,0.043173266958482066,1.1878031854449813,0.33559186799310514,2.3333330154418945
AlOx-HfO2,exp2,60,5,91.37253082936566,0.04314840338686532,1.1925339761287868,0.2986902484145876,2.4020028114318848
AlOx-HfO2,exp2,70,1,91.5914609675938,0.04316200667141241,1.2264989860260513,0.30335842544369496,2.5321598052978516
AlOx-HfO2,exp2,70,2,91.60141096759372,0.043144635500930374,1.4432346920642234,0.36807312133558956,2.509260654449463
AlOx-HfO2,exp2,70,3,91.34271096759366,0.04314658357629583,1.7918987639941364,0.39508704806156136,2.4921696186065674
AlOx-HfO2,exp2,70,4,91.24321096759377,0.04318704184401328,4.513537592971998,0.7593997479855008,2.499044418334961
AlOx-HfO2,exp2,70,5,91.55166096759358,0.043179957661976805,1.296820302553881,0.3222822583336169,2.4945812225341797
AlOx-HfO2,exp2,80,1,91.2233411058209,0.04309365298554306,2.129588078547287,0.429540007212585,2.6946396827697754
AlOx-HfO2,exp2,80,2,91.41239110582123,0.04317442349959735,1.2136660488111937,0.36590731808818,2.69245982170105
AlOx-HfO2,exp2,80,3,91.31979110582105,0.04322747054796985,4.143521198331953,0.705625426098305,2.706176280975342
AlOx-HfO2,exp2,80,4,91.34274110582136,0.043148374698136344,1.8265243140658016,0.3950554569544944,2.665126085281372
